Timestamp,Username,VideoID,Comment,Date,source,comment_length,word_count,processed_comment
,@listiaanggraeni4156,,kabarnya mbg akan menyasar di kampung untuk balita yang tidakbelum sekolah dan lansia kue mbg akan tambah besar porsi bagi baginya,2026-01-09T03:37:55Z,BBC,130.0,21.0,kabar sasar kampung balita tidakbelum sekolah lansia kue tambah besar porsi bagi
,@liu6762,,rekanan mbg supplier besar bos sppg,2026-01-26T02:52:08Z,BBC,35.0,6.0,rekan supplier besar bos sppg
,@lolen007,,dr sekian sisi positif anggarannya tetep dr rakyat yang jd pertanyaan tujuan utamanya tercapai ga ya gizi terpenuhi dan peningkatan prestasi ada evaluasi yang realkarena nilai anggarannya maha fantastis lho,2026-01-11T12:03:14Z,BBC,206.0,30.0,sekian sisi positif anggar tetap rakyat tanya tuju utama capai gizi penuh tingkat capai evaluasi realkarena nilai anggar maha fantastis lho
,@lovetressn,,yang di untungkan yang ngambil untung banyak,2026-01-06T14:05:46Z,BBC,44.0,7.0,untung ambil untung banyak
,@luftianita5600,,saya pedagang nasi padang di tambun bekasi merasakan efek mbg pembeli berkurang 50,2026-02-01T11:00:13Z,BBC,82.0,13.0,dagang nasi padang tambun bekas rasa efek beli kurang 50
,@luqmanhakim9821,,yang untung ialah para pejabat daerah yang membuat proyek dapur sppg dg menggunakan org lain sbagai kepala yayasan nya,2026-01-28T11:39:24Z,BBC,118.0,19.0,untung ialah jabat daerah buat proyek dapur sppg dg guna org sbagai kepala yayasan
,@Luthfie0505,,sebaiknya mbgdi stop saja ini hanya menghabiskan uang negara dan yang diuntungkan pemilik modal terutama para politisi dan para pejabat,2026-01-23T23:24:06Z,BBC,135.0,20.0,baik mbgdi stop habis uang negara untung milik modal utama politis jabat
,@Luthfie0505,,yang diuntungkan pemilik modal dan dampak ekonomi tidak berpengaruh tidak sesuai dgnanggaran yang dihabiskan dan hanya sarang korupsi ekonomi tidak maju,2026-01-23T23:20:54Z,BBC,152.0,21.0,untung milik modal dampak ekonomi pengaruh sesuai dgnanggaran habis sarang korupsi ekonomi maju
,@macemmacem8077,,sy pedagang di kantin sekolah pun berdampak yang duluny jualan nasi dan jajanan sekarang cma jualan es itupun gurunya nglarang dan g boleh jajan es jualan d sekolah skrng susah,2026-01-11T16:59:32Z,BBC,176.0,30.0,dagang kantin sekolah dampak duluny jual nasi jajan cma jual es guru nglarang jajan es jual d sekolah susah
,@maemulyana2436,,wah duit nih kasih mbg odm aja lah sisanya masuk kantong buahahahaha asuu,2026-02-03T05:31:09Z,BBC,73.0,13.0,wah uang odm sisa masuk kantong buahahahaha asuu
,@Magdalenawaabeng,,sebaiknya langsung diberikan pada orangtua anak sekolahitu langsung tahu orangtua makanan yang diperlukan anaknya,2026-01-11T09:35:38Z,BBC,113.0,14.0,baik langsung beri orang tua anak sekolahitu langsung tahu orang tua makan perlu anak
,@MagnumFilter-h1j,,program korup,2026-01-15T16:49:47Z,BBC,13.0,2.0,program korup
,@MagunFransiskus,,di daerah ntt banyak sekolah yang belum dpt mbg j,2026-01-29T03:51:30Z,BBC,49.0,10.0,daerah ntt banyak sekolah j
,@MahmuddinHarahap,,yang diuntungkanpengeluaran diperbesar pemasukan smakin kecildicampur dng benalu numpang dibatang,2026-01-16T03:18:12Z,BBC,97.0,10.0,diuntungkanpengeluaran besar pasu smakin kecildicampur dng benalu numpang batang
,@mahrizalrizal1602,,semua orang juga pada tau sistem bagi hasil yang penting proyek cuan,2026-01-08T03:51:10Z,BBC,68.0,12.0,semua orang tahu sistem hasil penting proyek untung
,@Makan2-x8m,,mbg sebagai wadah untuk korupsi yang di legalkan,2026-01-09T10:27:55Z,BBC,48.0,8.0,wadah korupsi legal
,@Maman-r2i,,hanya mengganggu konsenttasi murid2 dan guru2 di dalam kegiatan belajar mengajar di sekolah,2026-01-06T23:19:19Z,BBC,91.0,13.0,usik konsenttasi murid2 guru2 giat ajar ajar sekolah
,@man_155,,yang di untungkan orang tertentu bukan masyarakat secara luas,2026-01-22T05:52:11Z,BBC,61.0,9.0,untung orang tentu bukan masyarakat luas
,@MangJoe-z8x,,yang untung menjadi proyek yang meracuni anak bangsa ya masarakat ahirnya sengsara oleh naiknya sembako tambah sulitni rakyat jd miskin,2026-01-31T06:04:04Z,BBC,135.0,20.0,untung jadi proyek racun anak bangsa masarakat ahirnya sengsara naik sembako tambah sulitni rakyat miskin
,@mankanaja,,yang diuntungkan banyak anak sekolah guru pegawai sppg pemilik sppg sampai saudara2 kita yang terkena bencana alam seperti di aceh sumut sumbar yang bisa langsung dapat mbg tanpa buat banyak dapur umum tidak ada kebijakan yang sempurna karena itu perlu evaluasi terusmenerus untuk perbaikan kedepan,2026-01-12T01:51:21Z,BBC,298.0,45.0,untung banyak anak sekolah guru pegawai sppg milik sppg saudara2 kena bencana alam aceh sumut sumbar langsung buat banyak dapur umum atur sempurna perlu evaluasi terusmenerus baik depan
,@MansurMH-w7o,,yang di untungkan yang punya proyek,2026-01-06T15:18:33Z,BBC,35.0,6.0,untung punya proyek
,@marcelleo5491,,pemerintak tidak akan mendengar youtube inikarena sudah program hem hem hem,2026-02-14T11:23:08Z,BBC,75.0,11.0,pemerintak dengar youtube inikarena program hem hem hem
